benchmark,backend,N,block_size,correct,total_cycles,kernels_cy,sm_dyn_energy_uJ,chip_energy_uJ,wall_s
prefix_sum_large,gpu,1024,512,True,8041,3395|3334|1312,2.701,241.132,1.9
prefix_sum_large,dice,1024,512,True,15065,7046|6462|1557,1.142,715.372,7.2
prefix_sum_large,dice_acc,1024,512,True,4864,1819|1488|1557,0.437,231.068,2.7
prefix_sum_large_blelloch,gpu,1024,512,True,16119,7650|7220|1249,3.677,480.733,2.5
prefix_sum_large_blelloch,dice,1024,512,False,45909,21814|21652|2443,1.289,2175.975,20.5
prefix_sum_large,gpu,4096,512,True,7883,3447|3094|1342,9.837,258.496,2.5
prefix_sum_large,dice,4096,512,True,15233,7079|6462|1692,3.881,727.206,7.5
prefix_sum_large,dice_acc,4096,512,True,5019,1948|1488|1583,1.747,240.604,2.9
prefix_sum_large_blelloch,gpu,4096,512,True,16158,7728|7105|1325,11.719,514.108,3.3
prefix_sum_large_blelloch,dice,4096,512,False,46203,22069|21652|2482,4.259,2194.305,21.1
prefix_sum_large,gpu,16384,512,True,8041,3613|3094|1334,32.816,341.312,4.3
prefix_sum_large,dice,16384,512,True,15527,7219|6465|1843,14.837,756.652,8.9
prefix_sum_large,dice_acc,16384,512,True,5337,2125|1488|1724,6.991,264.458,3.4
prefix_sum_large_blelloch,gpu,16384,512,True,16524,7991|7108|1425,45.193,664.447,6.5
prefix_sum_large_blelloch,dice,16384,512,False,47087,22837|21652|2598,16.139,2253.807,23.3
prefix_sum_large,gpu,65536,512,True,11361,6147|2804|2410,119.151,595.707,10.3
prefix_sum_large,dice,65536,512,True,16929,8010|6465|2454,58.657,885.039,15.3
prefix_sum_large,dice_acc,65536,512,True,6643,3095|1488|2060,27.965,361.241,5.8
prefix_sum_large_blelloch,gpu,65536,512,True,18459,9735|6781|1943,177.272,910.356,12.7
prefix_sum_large_blelloch,dice,65536,512,False,49796,24651|21652|3493,63.665,2452.602,32.8
prefix_sum_large,gpu,262144,512,True,27672,17101|2897|7674,429.922,1687.773,37.0
prefix_sum_large,dice,262144,512,True,37261,25820|6251|5190,233.966,2072.775,48.1
prefix_sum_large,dice_acc,262144,512,True,12721,6063|1505|5153,111.865,782.551,17.9
prefix_sum_large_blelloch,gpu,262144,512,True,38880,26193|7030|5657,599.052,2284.06,43.3
prefix_sum_large_blelloch,dice,262144,512,False,83552,55606|21364|6582,254.492,4301.046,78.2
