benchmark,backend,N,correct,total_cycles,kernels_cy,sm_dyn_energy_uJ,chip_energy_uJ,wall_s
dot_product,dice,1024,True,8625,8625,0.368,409.111,4.4
dot_product,dice_acc,1024,True,3021,3021,0.23,143.474,1.6
dot_product,dice,4096,True,8499,8499,1.473,405.022,4.6
dot_product,dice_acc,4096,True,2987,2987,0.92,143.064,1.9
dot_product,dice,16384,True,8712,8712,5.89,422.605,5.3
dot_product,dice_acc,16384,True,3257,3257,3.679,160.64,2.3
dot_product,dice,65536,True,9655,9655,23.7,493.44,8.2
dot_product,dice_acc,65536,True,4602,4602,14.853,242.299,4.0
dot_product,dice,262144,True,21124,21124,94.827,1131.514,23.6
dot_product,dice_acc,262144,True,9927,9927,59.421,563.007,11.3
dot_product,dice,1048576,True,65691,65691,379.344,4204.09,87.5
dot_product,dice_acc,1048576,True,36742,36742,237.778,2675.118,47.8
l2norm,dice,1024,True,8333,8333,0.309,395.156,4.2
l2norm,dice_acc,1024,True,2719,2719,0.171,129.046,1.7
l2norm,dice,4096,True,8211,8211,1.237,390.882,4.3
l2norm,dice_acc,4096,True,2691,2691,0.684,128.544,1.7
l2norm,dice,16384,True,8416,8416,4.949,406.584,5.1
l2norm,dice_acc,16384,True,2961,2961,2.735,144.618,2.0
l2norm,dice,65536,True,9434,9434,19.934,475.098,7.7
l2norm,dice_acc,65536,True,3987,3987,11.08,205.301,3.5
l2norm,dice,262144,True,20082,20082,79.764,1051.149,22.0
l2norm,dice_acc,262144,True,8377,8377,44.324,458.566,8.9
l2norm,dice,1048576,True,59047,59047,319.077,3187.594,79.7
l2norm,dice_acc,1048576,True,25944,25944,177.42,1473.499,33.4
variance,dice,1024,True,11448,11448,0.384,542.814,5.5
variance,dice_acc,1024,True,2910,2910,0.231,138.159,1.7
variance,dice,4096,True,11312,11312,1.538,538.261,5.8
variance,dice_acc,4096,True,2918,2918,0.923,139.561,2.0
variance,dice,16384,True,11606,11606,6.151,559.711,6.8
variance,dice_acc,16384,True,3197,3197,3.69,156.86,2.1
variance,dice,65536,True,12674,12674,24.741,635.219,10.0
variance,dice_acc,65536,True,4049,4049,14.9,212.371,3.6
variance,dice,262144,True,25528,25528,98.991,1330.577,27.0
variance,dice_acc,262144,True,8296,8296,59.626,470.823,9.6
variance,dice,1048576,True,70009,70009,396.002,3804.646,92.7
variance,dice_acc,1048576,True,25935,25935,238.542,1553.916,35.6
histo_k16,dice,1024,True,2723,2723,0.198,129.267,1.6
histo_k16,dice_acc,1024,True,4227,4227,0.793,201.115,2.3
histo_k16,dice,4096,True,2707,2707,0.793,129.421,1.8
histo_k16,dice_acc,4096,True,4186,4186,3.17,201.937,2.4
histo_k16,dice,16384,True,2961,2961,3.171,145.086,2.1
histo_k16,dice_acc,16384,True,4440,4440,12.682,225.011,3.0
histo_k16,dice,65536,True,4058,4058,12.813,210.52,3.6
histo_k16,dice_acc,65536,True,6118,6118,50.857,346.89,5.9
histo_k16,dice,262144,True,8826,8826,51.251,487.242,10.2
histo_k16,dice_acc,262144,True,16340,16340,203.429,995.891,19.1
histo_k16,dice,1048576,True,27992,27992,205.135,1600.129,36.5
histo_k16,dice_acc,1048576,True,55271,55271,813.848,3501.497,72.5
block_max,dice,1024,True,8204,8204,0.299,389.038,4.3
block_max,dice_acc,1024,True,2590,2590,0.168,122.935,1.7
block_max,dice,4096,True,8123,8123,1.197,386.674,4.3
block_max,dice_acc,4096,True,2603,2603,0.674,124.366,1.8
block_max,dice,16384,True,8416,8416,4.789,406.422,5.3
block_max,dice_acc,16384,True,2882,2882,2.695,140.836,2.0
block_max,dice,65536,True,9434,9434,19.293,474.455,8.4
block_max,dice_acc,65536,True,3723,3723,10.92,192.643,3.5
block_max,dice,262144,True,20085,20085,77.2,1048.724,22.3
block_max,dice_acc,262144,True,7679,7679,43.68,424.882,8.9
block_max,dice,1048576,True,59025,59025,308.837,3176.316,78.9
block_max,dice_acc,1048576,True,23315,23315,174.857,1346.508,32.7
dot_product,gpu,1024,True,3089,3089,1.031,95.896,1.5
dot_product,gpu,4096,True,3078,3078,4.109,115.145,1.9
dot_product,gpu,16384,True,3311,3311,17.562,167.18,2.8
dot_product,gpu,65536,True,5185,5185,58.524,299.14,5.1
dot_product,gpu,262144,True,12160,12160,202.961,781.285,16.9
dot_product,gpu,1048576,True,43468,43468,783.074,3461.59,71.8
l2norm,gpu,1024,True,2805,2805,1.031,87.228,1.6
l2norm,gpu,4096,True,2785,2785,4.093,105.048,1.8
l2norm,gpu,16384,True,2927,2927,17.18,147.962,2.8
l2norm,gpu,65536,True,4362,4362,54.389,253.819,4.5
l2norm,gpu,262144,True,10398,10398,186.305,671.277,14.9
l2norm,gpu,1048576,True,32392,32392,700.882,2235.401,57.6
variance,gpu,1024,True,3501,3501,1.148,107.992,1.5
variance,gpu,4096,True,3516,3516,4.61,128.966,2.0
variance,gpu,16384,True,3697,3697,19.386,182.105,2.9
variance,gpu,65536,True,5560,5560,64.078,311.105,5.1
variance,gpu,262144,True,13934,13934,226.425,863.13,16.8
variance,gpu,1048576,True,44907,44907,852.237,2949.745,66.0
histo_k16,gpu,1024,True,1821,1821,0.651,56.79,1.4
histo_k16,gpu,4096,True,1831,1831,2.62,69.527,1.6
histo_k16,gpu,16384,True,2014,2014,8.683,100.087,2.1
histo_k16,gpu,65536,True,2997,2997,32.755,172.09,3.8
histo_k16,gpu,262144,True,6909,6909,115.719,447.122,9.8
histo_k16,gpu,1048576,True,22007,22007,425.88,1492.703,36.7
block_max,gpu,1024,True,2557,2557,0.922,79.488,1.5
block_max,gpu,4096,True,2581,2581,3.722,96.987,1.8
block_max,gpu,16384,True,2741,2741,15.809,137.657,2.6
block_max,gpu,65536,True,4224,4224,52.937,244.434,4.5
block_max,gpu,262144,True,10487,10487,182.404,670.736,14.7
block_max,gpu,1048576,True,33882,33882,682.338,2282.043,56.5
