benchmark,backend,N,correct,total_cycles,kernels_cy,sm_dyn_energy_uJ,chip_energy_uJ,wall_s
prefix_sum_large,gpu,1024,True,6798,3111|2538|1149,2.27,207.894,1.9
prefix_sum_large,dice,1024,True,11565,5423|4831|1311,1.002,549.636,5.7
prefix_sum_large,dice_acc,1024,True,4122,1579|1232|1311,0.447,196.032,2.2
prefix_sum_large,gpu,4096,True,6726,3128|2404|1194,8.484,236.981,2.6
prefix_sum_large,dice,4096,True,11604,5399|4833|1372,3.683,555.627,6.0
prefix_sum_large,dice_acc,4096,True,4327,1723|1232|1372,1.785,208.084,2.5
prefix_sum_large,gpu,16384,True,6617,3410|2076|1131,32.513,298.117,3.9
prefix_sum_large,dice,16384,True,12483,5977|4845|1661,14.407,613.81,7.6
prefix_sum_large,dice_acc,16384,True,5010,2113|1232|1665,7.138,249.81,3.5
prefix_sum_large,gpu,65536,True,10114,5501|2276|2337,110.112,539.284,9.0
prefix_sum_large,dice,65536,True,14653,7766|4692|2195,57.534,776.144,14.3
prefix_sum_large,dice_acc,65536,True,6365,2929|1249|2187,28.549,348.967,5.8
reduce_large,gpu,1024,True,2517,2517,0.908,78.259,1.5
reduce_large,dice,1024,True,8333,8333,0.299,395.146,4.2
reduce_large,dice_acc,1024,True,2719,2719,0.161,129.036,1.7
reduce_large,gpu,4096,True,2517,2517,3.632,94.574,1.8
reduce_large,dice,4096,True,8211,8211,1.197,390.842,4.3
reduce_large,dice_acc,4096,True,2691,2691,0.644,128.505,1.6
reduce_large,gpu,16384,True,2681,2681,15.463,134.644,2.4
reduce_large,dice,16384,True,8416,8416,4.789,406.424,5.2
reduce_large,dice_acc,16384,True,2961,2961,2.575,144.458,2.0
reduce_large,gpu,65536,True,4051,4051,50.794,235.251,4.5
reduce_large,dice,65536,True,9434,9434,19.293,474.457,7.7
reduce_large,dice_acc,65536,True,3986,3986,10.44,204.613,3.5
reduce_large,gpu,262144,True,9985,9985,182.71,649.589,13.7
reduce_large,dice,262144,True,20082,20082,77.203,1048.589,21.9
reduce_large,dice_acc,262144,True,8370,8370,41.762,455.672,9.3
reduce_large,gpu,1048576,True,31998,31998,684.63,2201.854,55.7
reduce_large,dice,1048576,True,59047,59047,308.834,3177.351,76.5
reduce_large,dice_acc,1048576,True,25910,25910,167.176,1461.647,32.8
prefix_sum_large_blelloch,gpu,1024,True,14488,6987|6139|1362,3.055,439.013,2.5
prefix_sum_large_blelloch,dice,1024,True,39788,19475|17693|2620,1.046,1886.094,17.9
prefix_sum_large_blelloch,gpu,4096,True,14426,6986|6015|1425,11.138,490.383,3.9
prefix_sum_large_blelloch,dice,4096,True,39535,19200|17693|2642,3.784,1878.692,18.6
prefix_sum_large_blelloch,gpu,16384,True,14392,7278|5679|1435,40.41,585.438,6.1
prefix_sum_large_blelloch,dice,16384,True,40187,19493|17693|3001,14.736,1927.84,21.5
prefix_sum_large_blelloch,gpu,65536,True,17226,9148|5942|2136,159.532,839.465,12.0
prefix_sum_large_blelloch,dice,65536,True,41982,20600|17716|3666,58.686,2075.474,29.0
